ac_no,ac_name,candidate,party,total_votes,source
47,Malatipur,MD. KAMRUL HODA,OTHER,1023.0,ECI
47,Malatipur,GOLAM FARUQUE,OTHER,592.0,ECI
48,Ratua,Samar Mukherjee,TMC,130674.0,ECI
48,Ratua,Abishek Singhania,BJP,55024.0,ECI
48,Ratua,Khatun Najema,INC,16173.0,ECI
48,Ratua,Payel Khatun,OTHER,8628.0,ECI
48,Ratua,Arafat Ali,OTHER,2102.0,ECI
48,Ratua,NOTA,OTHER,2051.0,ECI
48,Ratua,Chaitanya Rabidas,OTHER,1682.0,ECI
48,Ratua,Ashok Chowdhury,OTHER,1387.0,ECI
48,Ratua,Sabina Easmin,OTHER,856.0,ECI
48,Ratua,Sk Israil,OTHER,571.0,ECI
49,Manikchak,SABITRI MITRA,TMC,110234.0,ECI
49,Manikchak,GOUR CHANDRA MANDAL,BJP,76356.0,ECI
49,Manikchak,ALAM MOTTAKIN,INC,11555.0,ECI
49,Manikchak,ANIL CH. MANDAL,OTHER,2743.0,ECI
49,Manikchak,CHANCHALA KARMAKAR,OTHER,1740.0,ECI
49,Manikchak,AMAL KUMAR RABIDAS,OTHER,1519.0,ECI
49,Manikchak,NOTA,OTHER,1367.0,ECI
49,Manikchak,SUMITRA DAS,OTHER,826.0,ECI
49,Manikchak,DALIM MANDAL,OTHER,651.0,ECI
50,Maldaha,Gopal Chandra Saha,BJP,93398.0,ECI
50,Maldaha,Ujjwal Kumar Chowdhury,TMC,77942.0,ECI
50,Maldaha,Bhupendra Nath Halder (Arjun),INC,26563.0,ECI
50,Maldaha,NOTA,OTHER,2818.0,ECI
50,Maldaha,Sujit Kumar Moulik,OTHER,2128.0,ECI
50,Maldaha,Santosh Kumar Sarkar,OTHER,1469.0,ECI
50,Maldaha,Mukul Sarkar,OTHER,1240.0,ECI
50,Maldaha,Mirana Sarkar,OTHER,931.0,ECI
51,English Bazar,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),BJP,107755.0,ECI
51,English Bazar,KRISHNENDU NARAYAN CHOUDHURY,TMC,87656.0,ECI
51,English Bazar,KOUSHIK MISRA(SAHEB),CPM,10953.0,ECI
51,English Bazar,NOTA,OTHER,3196.0,ECI
51,English Bazar,MD. ANISUR RAHAMAN,OTHER,1787.0,ECI
51,English Bazar,NARESH PAL,OTHER,1129.0,ECI
51,English Bazar,SATISH RAJBANSHI,OTHER,1057.0,ECI
51,English Bazar,SURESH CHANDRA SARKAR,OTHER,1039.0,ECI
51,English Bazar,ADITYA PRAKASH DASGUPTA,OTHER,360.0,ECI
51,English Bazar,UMA DAS (PAUL),OTHER,275.0,ECI
51,English Bazar,GAUTAM SARKAR,OTHER,267.0,ECI
51,English Bazar,FIROZ AKHTAR,OTHER,201.0,ECI
52,Mothabari,YEASMIN SABINA,TMC,97397.0,ECI
52,Mothabari,SHYAMCHAND GHOSH,BJP,40824.0,ECI
52,Mothabari,DULAL SK,INC,16903.0,ECI
52,Mothabari,MD. ALI KALIMULLAH (NUR HOQUE),OTHER,3585.0,ECI
52,Mothabari,NOTA,OTHER,2139.0,ECI
52,Mothabari,SUBODH SARKAR,OTHER,566.0,ECI
52,Mothabari,MST AKTARI KHATUN,OTHER,556.0,ECI
52,Mothabari,SAIDUR RAHAMAN,OTHER,495.0,ECI
52,Mothabari,MD EBRAHIM,OTHER,300.0,ECI
52,Mothabari,MD FARUQUE HOSSAIN(SAHITYARATNA),OTHER,195.0,ECI
52,Mothabari,RAMCHANDRA CHOWDHURI,OTHER,183.0,ECI
53,Sujapur,Md Abdul Ghani,TMC,152445.0,ECI
53,Sujapur,Isha Khan Choudhury,INC,22282.0,ECI
53,Sujapur,Sk Ziauddin,BJP,14789.0,ECI
53,Sujapur,Md. Nur Islam Sekh,OTHER,11173.0,ECI
53,Sujapur,Md. Rahim Biswas,OTHER,2321.0,ECI
53,Sujapur,NOTA,OTHER,1527.0,ECI
53,Sujapur,Rafiqul Islam,OTHER,1461.0,ECI
53,Sujapur,Nasmul Hoque,OTHER,546.0,ECI
53,Sujapur,Manjur Alahi Munshi,OTHER,454.0,ECI
53,Sujapur,Md. Saidul Hoque,OTHER,352.0,ECI
53,Sujapur,Md Monirul Hasan,OTHER,241.0,ECI
54,Baisnabnagar,CHANDANA SARKAR,TMC,83061.0,ECI
54,Baisnabnagar,SWADHIN KUMAR SARKAR,BJP,80590.0,ECI
54,Baisnabnagar,AZIZUL HOQUE,INC,37443.0,ECI
54,Baisnabnagar,NIKHIL CHANDRA MANDAL,OTHER,2282.0,ECI
54,Baisnabnagar,NOTA,OTHER,1705.0,ECI
54,Baisnabnagar,HARENDRANATH SARKAR,OTHER,1346.0,ECI
54,Baisnabnagar,KURBAN ANSARI,OTHER,1247.0,ECI
54,Baisnabnagar,SAMIR GHOSH,OTHER,978.0,ECI
