ac_no,ac_name,has_pdf,has_ocr_markdown,selected_source,rows,booths,candidate_count,candidate_votes_sum_raw,ac_level_total_electors,total_rows_with_valid_total,total_field_coverage,status,qa_flags
100,HABRA,True,True,ocr_llamacloud,266,39,23,38025,242425.0,10,0.038,parsed,low_booth_count;low_total_field_coverage
101,ASHOKNAGAR,True,True,ocr_llamacloud,396,62,18,43630,,77,0.194,parsed,low_booth_count;low_total_field_coverage
102,of 21,True,True,ocr_llamacloud,425,75,19,33387,,28,0.066,parsed,low_booth_count;low_total_field_coverage
103,,True,True,ocr_llamacloud,407,90,17,40839,192316.0,175,0.43,parsed,low_booth_count
105,,True,True,ocr_llamacloud,843,78,32,79811,154037.0,0,0.0,parsed,low_booth_count;low_total_field_coverage
106,,True,True,ocr_llamacloud,821,71,15,274323,233871.0,97,0.118,parsed,low_booth_count;low_total_field_coverage
107,,True,True,ocr_llamacloud,298,87,3,19894,262153.0,0,0.0,parsed,low_booth_count;low_total_field_coverage
108,,True,True,ocr_llamacloud,424,114,10,44977,215356.0,161,0.38,parsed,low_booth_count
109,KHARDAH,True,True,ocr_llamacloud,111,47,7,7057,,111,1.0,parsed,low_booth_count
110,of 19,True,True,ocr_llamacloud,839,194,9,123657,273015.0,100,0.119,parsed,low_total_field_coverage
111,,True,True,native_pdf,1485,248,83,452780,,0,0.0,parsed,low_total_field_coverage
112,,True,True,ocr_llamacloud,193,25,8,12391,7103.0,8,0.041,parsed,low_booth_count;low_total_field_coverage
114,,True,True,ocr_llamacloud,269,133,2,49849,247958.0,23,0.086,parsed,low_booth_count;low_total_field_coverage
115,RAJARHAT NEW TOWN,True,True,ocr_llamacloud,892,197,11,129332,289045.0,169,0.189,parsed,low_total_field_coverage
116,,True,True,none,0,0,0,0,,0,0.0,ocr_done_parse_failed,ocr_markdown_unparsed
117,C,True,True,ocr_llamacloud,177,40,10,14560,257447.0,5,0.028,parsed,low_booth_count;low_total_field_coverage
118,,True,True,none,0,0,0,0,,0,0.0,ocr_done_parse_failed,ocr_markdown_unparsed
119,,True,True,ocr_llamacloud,170,29,6,14427,279592.0,150,0.882,parsed,low_booth_count
138,Canning Paschim (SC),True,False,native_pdf,2154,358,66,138785,257681.0,0,0.0,parsed,low_total_field_coverage
145,Satgachia,True,False,native_pdf,1880,375,60,216890,270193.0,0,0.0,parsed,low_total_field_coverage
151,Sonarpur Uttar,True,False,native_pdf,3024,399,84,235737,300330.0,0,0.0,parsed,low_total_field_coverage
155,Maheshtala,True,False,native_pdf,1860,370,60,151270,271007.0,0,0.0,parsed,low_total_field_coverage
170,HOWRAH UTTAR,True,False,native_pdf,3660,305,90,81784,,0,0.0,parsed,low_total_field_coverage
180,BAGNAN,True,False,native_pdf,1926,321,42,122244,,0,0.0,parsed,low_total_field_coverage
190,,True,False,native_pdf,3132,348,171,173651,,0,0.0,parsed,low_total_field_coverage
194,,True,False,native_pdf,1430,286,75,155880,,0,0.0,parsed,low_total_field_coverage
196,,True,False,native_pdf,1500,300,80,134356,,0,0.0,parsed,low_total_field_coverage
202,KHANAKUL,True,False,native_pdf,1940,385,55,5638591,277259.0,0,0.0,parsed,low_total_field_coverage
220,NAYAGRAM (ST),True,False,native_pdf,1968,328,126,86692,226791.0,0,0.0,parsed,low_total_field_coverage
261,Raina (SC),True,False,native_pdf,1440,360,60,222889,258556.0,0,0.0,parsed,low_total_field_coverage
272,,True,False,native_pdf,1404,351,60,105343,251003.0,0,0.0,parsed,low_total_field_coverage
283,,True,False,native_pdf,1493,249,83,216841,,0,0.0,parsed,low_total_field_coverage
