ac_no,booths,booth_candidate_rows,avg_candidates_per_booth,booths_with_total_valid,booths_sum_gt_total,booths_sum_lt_total,booths_low_candidate_count,booths_high_candidate_count,booths_with_placeholders,total_valid_coverage_pct,placeholder_booth_pct
97,204,1461,6.78921568627451,82,26,36,0,0,100,0.402,0.49
98,282,1843,6.223404255319149,226,53,9,0,0,48,0.801,0.17
99,32,181,5.46875,12,4,0,0,0,0,0.375,0.0
100,39,266,6.487179487179487,1,1,0,1,0,0,0.026,0.0
101,62,396,4.67741935483871,20,0,17,19,0,25,0.323,0.403
102,75,425,5.6,6,2,3,0,0,10,0.08,0.133
103,90,407,4.033333333333333,48,16,28,34,0,20,0.533,0.222
104,164,832,5.054878048780488,154,1,0,0,0,24,0.939,0.146
105,78,843,10.474358974358974,0,0,0,0,2,9,0.0,0.115
106,71,821,11.422535211267606,9,0,1,0,0,35,0.127,0.493
107,87,298,2.7471264367816093,0,0,0,0,0,87,0.0,1.0
108,114,424,3.719298245614035,34,20,6,4,0,69,0.298,0.605
109,47,111,2.3617021276595747,47,0,47,31,0,16,1.0,0.34
110,194,839,4.025773195876289,20,13,7,47,0,0,0.103,0.0
112,25,193,7.72,1,0,0,0,0,0,0.04,0.0
113,167,833,4.9880239520958085,88,59,22,5,0,24,0.527,0.144
114,133,269,1.4285714285714286,23,0,21,76,0,133,0.173,1.0
115,197,892,4.527918781725888,51,2,42,26,0,0,0.259,0.0
117,40,177,4.425,1,0,0,1,0,0,0.025,0.0
119,29,170,5.862068965517241,25,1,4,0,0,29,0.862,1.0
