ac_no,has_pdf,has_ocr_markdown,native_rows,native_booths,ocr_rows,ocr_booths,combined_rows,combined_booths,candidate_count,total_candidate_votes_sum,total_electors_ac_level,ac_name,status
86,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
87,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
88,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
89,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
90,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
91,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
92,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
93,True,True,2205,245,0,0,2205,245,126,174363,,,parsed
94,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
95,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
96,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
97,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
98,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
99,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
100,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
101,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
102,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
103,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
104,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
105,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
106,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
107,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
108,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
109,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
110,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
111,True,True,1485,248,0,0,1485,248,83,452780,,,parsed
112,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
113,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
114,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
115,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
116,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
117,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
118,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
119,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
120,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
