ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf,selected_source,district,region_scope,booths,total_valid_coverage_pct,placeholder_booth_pct,booths_low_candidate_count,booths_with_placeholders,is_placeholder_candidate,candidate_needs_party_review,ac_quality_flag,form20_model_ready
1,,22646.0,258,Serial No,195,237.0,4.0,1.0,402.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,259,Serial No,196,237.0,11.0,3.0,572.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,260,Serial No,197,374.0,63.0,6.0,686.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,261,Serial No,198,266.0,35.0,5.0,610.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,262,Serial No,199,264.0,22.0,4.0,611.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,263,Serial No,200,237.0,1.0,3.0,560.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,264,Serial No,201,278.0,34.0,3.0,800.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,265,Serial No,202,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,266,Serial No,203,221.0,16.0,2.0,590.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,267,Serial No,204,209.0,24.0,6.0,555.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,268,Serial No,205,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,269,Serial No,206,324.0,15.0,1.0,550.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,270,Serial No,207,252.0,10.0,7.0,415.0,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,227,candidate_col_1,337,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,227,candidate_col_2,26,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,188,candidate_col_1,12,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,188,candidate_col_2,3,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,228,candidate_col_1,346,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,229,candidate_col_1,379,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,229,candidate_col_2,26,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,230,candidate_col_1,384,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,230,candidate_col_2,22,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,231,candidate_col_1,248,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,231,candidate_col_2,18,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,232,candidate_col_1,259,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,232,candidate_col_2,77,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,232(A),candidate_col_1,207,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,232(A),candidate_col_2,11,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,233,candidate_col_1,382,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,233,candidate_col_2,1,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,234,candidate_col_1,199,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,234,candidate_col_2,7,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,235,candidate_col_1,201,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
1,,22646.0,235,candidate_col_2,25,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,True,True,low_booth_count;,False
2,Mathabhanga (SC),,16,Ashok Barman,152,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,214,0.393,0.154,0,33,False,False,,True
