ac_no,ac_name,has_pdf,has_ocr_markdown,selected_source,rows,booths,candidate_count,candidate_votes_sum_raw,ac_level_total_electors,total_rows_with_valid_total,total_field_coverage,status,qa_flags
114,,True,True,ocr_llamacloud,269,133,2,49849,247958.0,23,0.086,parsed,low_booth_count;low_total_field_coverage
115,RAJARHAT NEW TOWN,True,True,ocr_llamacloud,892,197,11,129332,289045.0,169,0.189,parsed,low_total_field_coverage
116,,True,True,none,0,0,0,0,,0,0.0,ocr_done_parse_failed,ocr_markdown_unparsed
117,C,True,True,ocr_llamacloud,177,40,10,14560,257447.0,5,0.028,parsed,low_booth_count;low_total_field_coverage
118,,True,True,none,0,0,0,0,,0,0.0,ocr_done_parse_failed,ocr_markdown_unparsed
119,,True,True,ocr_llamacloud,170,29,6,14427,279592.0,150,0.882,parsed,low_booth_count
120,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
121,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
122,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
123,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
124,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
125,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
126,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
127,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
128,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
129,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
130,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
131,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
132,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
133,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
134,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
135,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
136,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
137,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
138,Canning Paschim (SC),True,False,native_pdf,2154,358,66,138785,257681.0,0,0.0,parsed,low_total_field_coverage
139,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
140,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
141,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
142,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
143,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
144,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
145,Satgachia,True,False,native_pdf,1880,375,60,216890,270193.0,0,0.0,parsed,low_total_field_coverage
146,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
147,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
148,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
149,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
150,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
151,Sonarpur Uttar,True,False,native_pdf,3024,399,84,235737,300330.0,0,0.0,parsed,low_total_field_coverage
152,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
153,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
154,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
155,Maheshtala,True,False,native_pdf,1860,370,60,151270,271007.0,0,0.0,parsed,low_total_field_coverage
156,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
157,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
158,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
159,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
160,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
161,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
162,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
163,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
164,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
165,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
166,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
167,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
168,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
169,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
170,HOWRAH UTTAR,True,False,native_pdf,3660,305,90,81784,,0,0.0,parsed,low_total_field_coverage
171,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
172,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
173,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
174,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
175,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
176,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
177,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
178,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
179,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
180,BAGNAN,True,False,native_pdf,1926,321,42,122244,,0,0.0,parsed,low_total_field_coverage
181,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
182,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
183,,True,False,none,0,0,0,0,,0,0.0,downloaded_not_parsed,
