ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario
44,Gazole (SC),20000,105901.23949880841,50837.76050119048,1.0,0.0,55063.47899761794,0.0,0.0,0.0,0.015,0.04,neutral
45,Chanchal,20000,32724.417992774408,78115.6589303031,0.0,1.0,-45391.2409375287,0.0,0.0,0.0,0.015,0.04,neutral
46,Harishchandrapur,20000,23331.50756976034,63546.99243023958,0.0,1.0,-40215.48486047924,0.0,0.0,0.0,0.015,0.04,neutral
47,Malatipur,20000,19340.194508244487,101793.80549175615,0.0,1.0,-82453.61098351167,0.0,0.0,0.0,0.015,0.04,neutral
48,Ratua,20000,145354.73321051014,128185.26678949011,0.8687,0.1313,17169.46642102003,0.0,0.0,0.0,0.015,0.04,neutral
49,Manikchak,20000,170712.57049540523,22657.429504594933,1.0,0.0,148055.1409908103,0.0,0.0,0.0,0.015,0.04,neutral
50,Maldaha,20000,49013.14406390371,40949.855936096326,0.86995,0.13005,8063.288127807379,0.0,0.0,0.0,0.015,0.04,neutral
51,English Bazar,20000,157055.31451973226,127608.34732997962,0.89955,0.10045,29446.96718975265,0.0,0.0,0.0,0.015,0.04,neutral
52,Mothabari,20000,57798.84516239303,137934.0149412342,0.0,1.0,-80135.16977884117,0.0,0.0,0.0,0.015,0.04,neutral
53,Sujapur,20000,33674.39150648318,167106.60849351634,0.0,1.0,-133432.21698703317,0.0,0.0,0.0,0.015,0.04,neutral
54,Baisnabnagar,20000,94593.57686661255,126692.4231333884,0.01435,0.98565,-32098.846266775847,0.0,0.0,0.0,0.015,0.04,neutral
1,Mekliganj (SC),20000,46731.86151468808,50622.88688531178,0.30945,0.69055,-3891.0253706237077,0.01,0.03,0.02,0.015,0.04,bjp_moderate
2,Mathabhanga (SC),20000,83693.49577052904,59388.21678811515,0.9837,0.0163,24305.2789824139,0.01,0.03,0.02,0.015,0.04,bjp_moderate
3,Cooch Behar Uttar (SC),20000,66008.67969104488,53473.572908954564,0.9061,0.0939,12535.106782090319,0.01,0.03,0.02,0.015,0.04,bjp_moderate
4,Cooch Behar Dakshin,20000,60638.43918190385,52985.82550108025,0.7997,0.2003,7652.613680823594,0.01,0.03,0.02,0.015,0.04,bjp_moderate
5,Sitalkuchi (SC),20000,14528.318177382935,10865.505822617186,0.9626,0.0374,3662.8123547657474,0.01,0.03,0.02,0.015,0.04,bjp_moderate
6,Sitai (SC),20000,67415.71700064317,68057.36938196552,0.4773,0.5227,-641.6523813223481,0.01,0.03,0.02,0.015,0.04,bjp_moderate
7,Dinhata,20000,58128.48176016128,51921.219239838465,0.7666,0.2334,6207.262520322817,0.01,0.03,0.02,0.015,0.04,bjp_moderate
8,Natabari,20000,77895.78407724491,56837.82470698894,0.97465,0.02535,21057.959370255972,0.01,0.03,0.02,0.015,0.04,bjp_moderate
9,Tufanganj,20000,92042.92204227061,61626.092531794515,0.99295,0.00705,30416.829510476102,0.01,0.03,0.02,0.015,0.04,bjp_moderate
10,Kumargram (ST),20000,86790.86027398489,72217.47119017421,0.8749,0.1251,14573.389083810674,0.01,0.03,0.02,0.015,0.04,bjp_moderate
11,Kalchini (ST),20000,55972.902047595046,37262.688097502956,0.9942,0.0058,18710.213950092097,0.01,0.03,0.02,0.015,0.04,bjp_moderate
12,Alipurduars,20000,88508.13271214484,69616.56475816808,0.9322,0.0678,18891.567953976763,0.01,0.03,0.02,0.015,0.04,bjp_moderate
13,Falakata,20000,117210.05592093887,104139.443279061,0.773,0.227,13070.612641877866,0.01,0.03,0.02,0.015,0.04,bjp_moderate
14,Madarihat,20000,54876.70258180921,33944.554773363554,0.99845,0.00155,20932.147808445658,0.01,0.03,0.02,0.015,0.04,bjp_moderate
15,Dhupguri (SC),20000,81849.25657613383,72565.15012386639,0.77265,0.22735,9284.106452267444,0.01,0.03,0.02,0.015,0.04,bjp_moderate
16,Maynaguri (SC),20000,92405.07091072106,76493.44687465996,0.8813,0.1187,15911.624036061108,0.01,0.03,0.02,0.015,0.04,bjp_moderate
17,Jalpaiguri (SC),20000,57745.35487257105,53878.26479305391,0.66965,0.33035,3867.090079517138,0.01,0.03,0.02,0.015,0.04,bjp_moderate
18,Rajganj (SC),20000,47768.93128123602,51987.55166876423,0.29825,0.70175,-4218.620387528211,0.01,0.03,0.02,0.015,0.04,bjp_moderate
19,Dabgram-Phulbari,20000,68398.55651312729,49641.08783687229,0.97655,0.02345,18757.468676255,0.01,0.03,0.02,0.015,0.04,bjp_moderate
20,Mal (ST),20000,110761.27649915555,70967.19530084427,0.9994,0.0006,39794.08119831128,0.01,0.03,0.02,0.015,0.04,bjp_moderate
21,Nagrakata (ST),20000,60981.44133034993,42206.72714562399,0.9883,0.0117,18774.714184725945,0.01,0.03,0.02,0.015,0.04,bjp_moderate
22,Kalimpong,20000,74510.4428441131,688.3762572931064,1.0,0.0,73822.06658682,0.01,0.03,0.02,0.015,0.04,bjp_moderate
23,Darjeeling,20000,196850.73442850553,27166.487871494417,1.0,0.0,169684.2465570111,0.01,0.03,0.02,0.015,0.04,bjp_moderate
24,Kurseong,20000,151489.20455263305,1396.61996637736,1.0,0.0,150092.5845862557,0.01,0.03,0.02,0.015,0.04,bjp_moderate
25,Matigara-Naxalbari (SC),20000,130429.65693028586,58601.03913616328,1.0,0.0,71828.61779412258,0.01,0.03,0.02,0.015,0.04,bjp_moderate
26,Siliguri,20000,47267.65179493323,26119.2259550667,0.9998,0.0002,21148.425839866522,0.01,0.03,0.02,0.015,0.04,bjp_moderate
27,Phansidewa (ST),20000,56808.519057041274,38602.01469295862,0.9907,0.0093,18206.50436408266,0.01,0.03,0.02,0.015,0.04,bjp_moderate
28,Chopra,20000,64358.356678671764,122179.07018636436,0.0001,0.9999,-57820.7135076926,0.01,0.03,0.02,0.015,0.04,bjp_moderate
29,Islampur,20000,6596.205425732849,11690.874774267177,0.0001,0.9999,-5094.669348534328,0.01,0.03,0.02,0.015,0.04,bjp_moderate
30,Goalpokhar,20000,17301.273629230236,20524.9433707698,0.1114,0.8886,-3223.6697415395647,0.01,0.03,0.02,0.015,0.04,bjp_moderate
31,Chakulia,20000,34456.45187306877,52121.37044231568,0.0052,0.9948,-17664.91856924691,0.01,0.03,0.02,0.015,0.04,bjp_moderate
32,Karandighi,20000,56067.638793053746,85868.35810694502,0.0,1.0,-29800.719313891266,0.01,0.03,0.02,0.015,0.04,bjp_moderate
33,Hemtabad (SC),20000,51121.20785893465,61453.978315139044,0.1291,0.8709,-10332.770456204396,0.01,0.03,0.02,0.015,0.04,bjp_moderate
34,Kaliaganj (SC),20000,131829.17555389102,97848.75334610819,0.96935,0.03065,33980.422207782816,0.01,0.03,0.02,0.015,0.04,bjp_moderate
35,Raiganj,20000,42484.45453202622,28935.14188136644,0.99045,0.00955,13549.312650659782,0.01,0.03,0.02,0.015,0.04,bjp_moderate
36,Itahar,20000,38154.9317191855,56869.11038081452,0.0068,0.9932,-18714.178661629016,0.01,0.03,0.02,0.015,0.04,bjp_moderate
37,Kushmandi (SC),20000,52655.118285998244,56538.09612178645,0.32935,0.67065,-3882.9778357882083,0.01,0.03,0.02,0.015,0.04,bjp_moderate
38,Kumarganj,20000,34458.32530203137,47241.42941046864,0.02675,0.97325,-12783.104108437265,0.01,0.03,0.02,0.015,0.04,bjp_moderate
39,Balurghat,20000,54095.67706961756,40593.984953838975,0.96395,0.03605,13501.692115778584,0.01,0.03,0.02,0.015,0.04,bjp_moderate
40,Tapan (ST),20000,56558.86657111236,51196.067184008425,0.733,0.267,5362.799387103933,0.01,0.03,0.02,0.015,0.04,bjp_moderate
41,Gangarampur (SC),20000,61715.174274077275,54089.78904209103,0.7959,0.2041,7625.385231986236,0.01,0.03,0.02,0.015,0.04,bjp_moderate
42,Harirampur,20000,105509.94230367107,127678.55004118432,0.11605,0.88395,-22168.607737513266,0.01,0.03,0.02,0.015,0.04,bjp_moderate
43,Habibpur (ST),20000,109483.48879624913,79918.59988470362,0.9748,0.0252,29564.888911545502,0.01,0.03,0.02,0.015,0.04,bjp_moderate
44,Gazole (SC),20000,106080.10493853099,47477.09336146911,1.0,0.0,58603.011577061894,0.01,0.03,0.02,0.015,0.04,bjp_moderate
45,Chanchal,20000,34231.912774751545,74358.11058678666,0.0,1.0,-40126.19781203512,0.01,0.03,0.02,0.015,0.04,bjp_moderate
46,Harishchandrapur,20000,24560.175295094246,60554.69115490571,0.0,1.0,-35994.515859811465,0.01,0.03,0.02,0.015,0.04,bjp_moderate
47,Malatipur,20000,20941.757602165308,97733.22219783437,0.0,1.0,-76791.46459566907,0.01,0.03,0.02,0.015,0.04,bjp_moderate
48,Ratua,20000,146121.07566878415,121866.06233121683,0.94645,0.05355,24255.013337567307,0.01,0.03,0.02,0.015,0.04,bjp_moderate
49,Manikchak,20000,169850.042251112,19594.54674888957,1.0,0.0,150255.49550222245,0.01,0.03,0.02,0.015,0.04,bjp_moderate
50,Maldaha,20000,49780.91226140632,38355.83883859351,0.9473,0.0527,11425.07342281282,0.01,0.03,0.02,0.015,0.04,bjp_moderate
51,English Bazar,20000,159444.79142526496,119440.19808889735,0.96185,0.03815,40004.59333636763,0.01,0.03,0.02,0.015,0.04,bjp_moderate
52,Mothabari,20000,60460.718266466305,131298.76477705676,0.0,1.0,-70838.04651059046,0.01,0.03,0.02,0.015,0.04,bjp_moderate
53,Sujapur,20000,35270.18229101811,161434.96340898096,0.0,1.0,-126164.78111796286,0.01,0.03,0.02,0.015,0.04,bjp_moderate
54,Baisnabnagar,20000,96288.08259266971,120505.81160732968,0.04475,0.95525,-24217.729014659966,0.01,0.03,0.02,0.015,0.04,bjp_moderate
1,Mekliganj (SC),20000,48147.29900145435,48144.168998545596,0.5038,0.4962,3.1300029087483883,0.02,0.05,0.04,0.015,0.04,bjp_surge
2,Mathabhanga (SC),20000,85609.79992960073,55909.21555404432,0.99585,0.00415,29700.58437555641,0.02,0.05,0.04,0.015,0.04,bjp_surge
3,Cooch Behar Uttar (SC),20000,67651.2980259367,50526.00397406286,0.9648,0.0352,17125.294051873832,0.02,0.05,0.04,0.015,0.04,bjp_surge
4,Cooch Behar Dakshin,20000,62223.8295568251,50159.46377563551,0.90775,0.09225,12064.36578118959,0.02,0.05,0.04,0.015,0.04,bjp_surge
5,Sitalkuchi (SC),20000,14871.552274952901,10244.927725047042,0.989,0.011,4626.624549905859,0.02,0.05,0.04,0.015,0.04,bjp_surge
6,Sitai (SC),20000,69359.29181149154,64634.19671024754,0.6701,0.3299,4725.095101243996,0.02,0.05,0.04,0.015,0.04,bjp_surge
7,Dinhata,20000,59567.02651203833,49280.743487962165,0.8899,0.1101,10286.283024076163,0.02,0.05,0.04,0.015,0.04,bjp_surge
8,Natabari,20000,79710.27060231636,53551.81668146782,0.99255,0.00745,26158.453920848537,0.02,0.05,0.04,0.015,0.04,bjp_surge
9,Tufanganj,20000,94077.46959416816,57913.21645489793,0.9985,0.0015,36164.25313927022,0.02,0.05,0.04,0.015,0.04,bjp_surge
10,Kumargram (ST),20000,88988.3893735506,68283.29909105174,0.9515,0.0485,20705.090282498848,0.02,0.05,0.04,0.015,0.04,bjp_surge
11,Kalchini (ST),20000,57205.928162837576,35011.36983716256,0.99875,0.00125,22194.558325675018,0.02,0.05,0.04,0.015,0.04,bjp_surge
12,Alipurduars,20000,90669.42659492041,65728.27867070535,0.975,0.025,24941.147924215067,0.02,0.05,0.04,0.015,0.04,bjp_surge
13,Falakata,20000,120308.56127578416,98623.42272421576,0.89495,0.10505,21685.1385515684,0.02,0.05,0.04,0.015,0.04,bjp_surge
14,Madarihat,20000,56034.378656033456,31816.7986198282,0.9998,0.0002,24217.580036205258,0.02,0.05,0.04,0.015,0.04,bjp_surge
15,Dhupguri (SC),20000,84009.88141688245,68718.05580093959,0.89325,0.10675,15291.825615942847,0.02,0.05,0.04,0.015,0.04,bjp_surge
16,Maynaguri (SC),20000,94736.92659709127,72316.93043468981,0.9529,0.0471,22419.99616240145,0.02,0.05,0.04,0.015,0.04,bjp_surge
17,Jalpaiguri (SC),20000,59322.76678640522,51081.73199484489,0.82755,0.17245,8241.034791560329,0.02,0.05,0.04,0.015,0.04,bjp_surge
18,Rajganj (SC),20000,49220.552262007135,49446.41923799281,0.48885,0.51115,-225.86697598567605,0.02,0.05,0.04,0.015,0.04,bjp_surge
19,Dabgram-Phulbari,20000,69986.53625469368,46763.91324530603,0.9918,0.0082,23222.623009387644,0.02,0.05,0.04,0.015,0.04,bjp_surge
20,Mal (ST),20000,112414.8101961507,67328.87580384969,0.99985,0.00015,45085.934392301024,0.02,0.05,0.04,0.015,0.04,bjp_surge
21,Nagrakata (ST),20000,62356.64321136387,39704.53393798686,0.99725,0.00275,22652.10927337702,0.02,0.05,0.04,0.015,0.04,bjp_surge
22,Kalimpong,20000,74064.20860522363,313.31074689784714,1.0,0.0,73750.89785832577,0.02,0.05,0.04,0.015,0.04,bjp_surge
23,Darjeeling,20000,196056.6576941438,25513.913305856648,1.0,0.0,170542.74438828713,0.02,0.05,0.04,0.015,0.04,bjp_surge
24,Kurseong,20000,150588.46759451946,627.5821747268935,1.0,0.0,149960.88541979255,0.02,0.05,0.04,0.015,0.04,bjp_surge
25,Matigara-Naxalbari (SC),20000,132744.46509667826,54221.692388664116,1.0,0.0,78522.77270801415,0.02,0.05,0.04,0.015,0.04,bjp_surge
26,Siliguri,20000,48203.115525247566,24382.251974752126,0.99995,5e-05,23820.863550495444,0.02,0.05,0.04,0.015,0.04,bjp_surge
27,Phansidewa (ST),20000,58075.442595027016,36293.0449049726,0.9983,0.0017,21782.397690054415,0.02,0.05,0.04,0.015,0.04,bjp_surge
28,Chopra,20000,67345.45570509034,117154.66334382365,0.0005,0.9995,-49809.2076387333,0.02,0.05,0.04,0.015,0.04,bjp_surge
29,Islampur,20000,6860.003929578874,11227.350070421135,0.0005,0.9995,-4367.346140842261,0.02,0.05,0.04,0.015,0.04,bjp_surge
30,Goalpokhar,20000,17748.99156471595,19664.09843528421,0.2373,0.7627,-1915.1068705682605,0.02,0.05,0.04,0.015,0.04,bjp_surge
31,Chakulia,20000,35792.77336069778,49839.471023917795,0.0204,0.9796,-14046.697663220019,0.02,0.05,0.04,0.015,0.04,bjp_surge
32,Karandighi,20000,57195.63917805927,83190.17382194023,0.00015,0.99985,-25994.534643880965,0.02,0.05,0.04,0.015,0.04,bjp_surge
