ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,competitiveness
33,Hemtabad (SC),20000,59345.330294659325,77352.04007571115,0.051,0.949,-18006.709781051813,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.949,94.9,strong
34,Kaliaganj (SC),20000,145852.96465539277,119521.03534460712,0.8983,0.1017,26331.92931078563,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8983,89.83,strong
35,Raiganj,20000,26994.761610269743,19976.774104015625,0.96785,0.03215,7017.987506254119,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.96785,96.78,very_strong
36,Itahar,20000,28519.322471458607,46238.24895711247,0.0015,0.9985,-17718.92648565386,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9985,99.85,very_strong
37,Kushmandi (SC),20000,53576.16599970435,62353.2531619728,0.17445,0.82555,-8777.087162268443,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.82555,82.56,strong
38,Kumarganj,20000,30016.49273135769,44571.50726864237,0.0077,0.9923,-14555.014537284673,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9923,99.23,very_strong
39,Balurghat,20000,58216.09755383002,47413.35923629331,0.8999,0.1001,10802.7383175367,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8999,89.99,strong
40,Tapan (ST),20000,58701.04830159773,57545.50591527002,0.5488,0.4512,1155.5423863277078,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.5488,54.88,toss_up
41,Gangarampur (SC),20000,55336.97759149983,52464.60025281164,0.6303,0.3697,2872.377338688189,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.6303,63.03,lean
42,Harirampur,20000,81656.68235563752,106983.68389950624,0.0456,0.9544,-25327.00154386872,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9544,95.44,very_strong
43,Habibpur (ST),20000,114213.60293252752,90386.20659128229,0.9278,0.0722,23827.39634124524,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9278,92.78,strong
44,Gazole (SC),20000,102334.3413488732,63058.65865112666,0.99995,5e-05,39275.68269774654,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.99995,100.0,very_strong
45,Chanchal,20000,40855.59338248395,97433.10345009468,0.0,1.0,-56577.51006761074,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
46,Harishchandrapur,20000,15042.523675215049,40890.503110499056,0.0,1.0,-25847.979435284007,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
47,Malatipur,20000,19741.40978721357,104410.5902127862,0.0,1.0,-84669.18042557263,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
48,Ratua,20000,144049.2682152816,76592.73178471811,1.0,0.0,67456.5364305635,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,very_strong
49,Manikchak,20000,195395.16516591684,25018.834834083656,1.0,0.0,170376.3303318332,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,very_strong
50,Maldaha,20000,34403.96036044038,28713.68437640185,0.8703,0.1297,5690.275984038532,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8703,87.03,strong
51,English Bazar,20000,163761.72933617598,133009.52210891014,0.89975,0.10025,30752.207227265837,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.89975,89.98,strong
52,Mothabari,20000,39735.33569094714,94802.66430905298,0.0,1.0,-55067.32861810584,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
53,Sujapur,20000,28385.653504490805,156796.34649550804,0.0,1.0,-128410.69299101723,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
54,Baisnabnagar,20000,54243.13118975453,111495.86881024529,0.0,1.0,-57252.73762049074,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,very_strong
1,Mekliganj (SC),20000,38043.1879149316,41181.31208506839,0.31005,0.68995,-3138.1241701367976,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.68995,68.99,likely
2,Mathabhanga (SC),20000,84695.0019363023,59967.38825061434,0.9835,0.0165,24727.61368568796,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9835,98.35,very_strong
3,Cooch Behar Uttar (SC),20000,50079.60265201874,40584.753512365285,0.90665,0.09335,9494.84913965345,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.90665,90.66,strong
4,Cooch Behar Dakshin,20000,68274.30014333916,59641.84121791705,0.79955,0.20045,8632.458925422108,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.79955,79.96,likely
5,Sitalkuchi (SC),20000,17552.59545353426,11946.404546465725,0.9924,0.0076,5606.190907068536,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9924,99.24,very_strong
6,Sitai (SC),20000,57559.60284220013,58136.22324475642,0.4705,0.5295,-576.6204025562882,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.5295,52.95,toss_up
7,Dinhata,20000,69531.19138121953,64751.80861878061,0.66775,0.33225,4779.382762438929,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.66775,66.77,likely
8,Natabari,20000,90746.06126522207,65956.68197802108,0.97485,0.02515,24789.379287201,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.97485,97.48,very_strong
9,Tufanganj,20000,95204.340152438,63743.8304083089,0.99375,0.00625,31460.50974412911,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.99375,99.38,very_strong
10,Kumargram (ST),20000,91430.45461846032,75965.23122224801,0.87605,0.12395,15465.223396212305,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.87605,87.6,strong
11,Kalchini (ST),20000,33333.8369276558,22215.349346854007,0.99415,0.00585,11118.487580801791,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.99415,99.42,very_strong
12,Alipurduars,20000,72571.81893838952,57010.65762411054,0.9329,0.0671,15561.161314278985,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9329,93.29,strong
13,Falakata,20000,123578.29664323128,109693.7033567683,0.76825,0.23175,13884.593286462974,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.76825,76.82,likely
14,Madarihat,20000,61298.98148359893,37834.94955088353,0.9984,0.0016,23464.031932715392,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9984,99.84,very_strong
15,Dhupguri (SC),20000,89292.92869520785,79164.52675033647,0.77315,0.22685,10128.40194487139,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.77315,77.32,likely
16,Maynaguri (SC),20000,94675.6604454422,78219.99421557464,0.88305,0.11695,16455.666229867566,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.88305,88.3,strong
17,Jalpaiguri (SC),20000,61042.64793722647,56992.16456277349,0.6667,0.3333,4050.483374452973,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.6667,66.67,likely
18,Rajganj (SC),20000,40131.07083036586,43584.41936571243,0.3,0.7,-3453.348535346568,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,0.7,70.0,likely
19,Dabgram-Phulbari,20000,51596.51504195103,37408.83019614393,0.97775,0.02225,14187.684845807104,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.97775,97.78,very_strong
20,Mal (ST),20000,52178.20497610402,47635.79502389605,0.77885,0.22115,4542.409952207977,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.77885,77.89,likely
