ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,competitiveness
27,Phansidewa (ST),20000,27490.04374414211,17143.956255857807,0.99775,0.00225,10346.087488284302,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.99775,99.78,very_strong
28,Chopra,20000,67823.46208003582,118325.61763010944,0.0003,0.9997,-50502.15555007364,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.9997,99.97,very_strong
29,Islampur,20000,7433.762556977364,13944.237443022674,5e-05,0.99995,-6510.47488604531,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.99995,100.0,very_strong
30,Goalpokhar,20000,24261.72002573068,37125.27997426917,0.00175,0.99825,-12863.559948538494,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.99825,99.82,very_strong
31,Chakulia,20000,24261.452697543253,33734.316533225865,0.0194,0.9806,-9472.86383568261,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.9806,98.06,very_strong
32,Karandighi,20000,68254.85514658598,96972.14485341385,0.00025,0.99975,-28717.28970682785,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.99975,99.98,very_strong
33,Hemtabad (SC),20000,64739.43778503122,71957.93258533959,0.2548,0.7452,-7218.494800308359,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.7452,74.52,likely
34,Kaliaganj (SC),20000,156372.74204598158,109001.25795401816,0.9885,0.0115,47371.48409196341,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9885,98.85,very_strong
35,Raiganj,20000,28872.309227046757,18099.2264872387,0.99775,0.00225,10773.082739808053,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.99775,99.78,very_strong
36,Itahar,20000,31486.21393022088,43271.35749835015,0.0242,0.9758,-11785.143568129266,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.9758,97.58,very_strong
37,Kushmandi (SC),20000,58274.82155803134,57654.59760364496,0.52495,0.47505,620.2239543863892,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.52495,52.5,toss_up
38,Kumarganj,20000,32965.42101857314,41622.57898142703,0.0704,0.9296,-8657.157962853884,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.9296,92.96,strong
39,Balurghat,20000,62443.97703253553,43185.47975758775,0.98895,0.01105,19258.497274947786,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.98895,98.9,very_strong
40,Tapan (ST),20000,63339.04508596785,52907.50913089928,0.87,0.13,10431.535955068575,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.87,87.0,strong
41,Gangarampur (SC),20000,59646.89641780219,48154.68142650896,0.9103,0.0897,11492.214991293233,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9103,91.03,strong
42,Harirampur,20000,89256.80121986456,99383.56503527943,0.25035,0.74965,-10126.76381541487,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.74965,74.96,likely
43,Habibpur (ST),20000,122304.33575615872,82295.47376765168,0.9938,0.0062,40008.86198850706,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9938,99.38,very_strong
44,Gazole (SC),20000,107213.06045801227,58179.93954198776,1.0,0.0,49033.12091602452,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
45,Chanchal,20000,46411.86412173171,91876.83271084711,5e-05,0.99995,-45464.968589115415,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.99995,100.0,very_strong
46,Harishchandrapur,20000,17279.382668464976,38653.64411724911,0.0,1.0,-21374.26144878414,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,1.0,100.0,very_strong
47,Malatipur,20000,24063.06422073776,100088.93577926238,0.0,1.0,-76025.87155852461,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,1.0,100.0,very_strong
48,Ratua,20000,149876.5513889964,70765.44861100396,1.0,0.0,79111.10277799243,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
49,Manikchak,20000,200851.76592654455,19562.23407345481,1.0,0.0,181289.53185308975,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,1.0,100.0,very_strong
50,Maldaha,20000,36929.30455072369,26188.34018611815,0.9827,0.0173,10740.964364605545,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.9827,98.27,very_strong
51,English Bazar,20000,175606.4330674307,121164.81837765516,0.98855,0.01145,54441.61468977556,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.98855,98.86,very_strong
52,Mothabari,20000,45052.04348794145,89485.95651205807,0.0,1.0,-44433.91302411661,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,1.0,100.0,very_strong
53,Sujapur,20000,33053.592043156605,152128.407956844,0.0,1.0,-119074.8159136874,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,1.0,100.0,very_strong
54,Baisnabnagar,20000,60308.49650876166,105430.50349123852,5e-05,0.99995,-45122.00698247686,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),TMC,0.99995,100.0,very_strong
1,Mekliganj (SC),20000,34068.56544293885,45155.9345570614,0.0395,0.9605,-11087.36911412254,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.9605,96.05,very_strong
2,Mathabhanga (SC),20000,77426.79133566776,67235.59885124872,0.8075,0.1925,10191.192484419047,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.8075,80.75,strong
3,Cooch Behar Uttar (SC),20000,45518.8660407249,45145.49012365843,0.5222,0.4778,373.37591706647873,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.5222,52.22,toss_up
4,Cooch Behar Dakshin,20000,61841.49940425025,66074.64195700607,0.33845,0.66155,-4233.1425527558085,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.66155,66.16,likely
5,Sitalkuchi (SC),20000,16078.096433194176,13420.903566805891,0.8672,0.1328,2657.192866388284,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.8672,86.72,strong
6,Sitai (SC),20000,51791.47357785684,63904.352509099816,0.0945,0.9055,-12112.878931242984,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.9055,90.55,strong
7,Dinhata,20000,63429.23514127667,70853.76485872315,0.20465,0.79535,-7424.529717446482,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.79535,79.54,likely
8,Natabari,20000,82796.00180651208,73906.7414367312,0.7585,0.2415,8889.260369780874,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.7585,75.85,likely
9,Tufanganj,20000,87249.4831827895,71698.687377959,0.88805,0.11195,15550.795804830492,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.88805,88.8,strong
10,Kumargram (ST),20000,83024.22612299342,84371.45971771445,0.4605,0.5395,-1347.2335947210192,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.5395,53.95,toss_up
11,Kalchini (ST),20000,30571.85860828158,24977.32766622829,0.89595,0.10405,5594.530942053285,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.89595,89.6,strong
12,Alipurduars,20000,66118.73403117894,63463.74253132101,0.60405,0.39595,2654.9914998579266,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.60405,60.4,lean
13,Falakata,20000,111986.33130661036,121285.66869338937,0.30855,0.69145,-9299.337386778998,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.69145,69.14,likely
14,Madarihat,20000,56348.627977951255,42785.30305653165,0.95695,0.04305,13563.32492141961,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.95695,95.7,very_strong
15,Dhupguri (SC),20000,80987.59437722387,87469.8610683215,0.3132,0.6868,-6482.266691097617,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.6868,68.68,likely
16,Maynaguri (SC),20000,85969.9010487659,86925.75361225006,0.4745,0.5255,-955.852563484156,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.5255,52.55,toss_up
17,Jalpaiguri (SC),20000,55213.90069351857,62820.91180648087,0.2123,0.7877,-7607.011112962306,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.7877,78.77,likely
18,Rajganj (SC),20000,35947.318716738526,47768.17147933992,0.04005,0.95995,-11820.852762601387,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.95995,95.99,very_strong
19,Dabgram-Phulbari,20000,47137.38272313282,41867.96251496239,0.7697,0.2303,5269.420208170426,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.7697,76.97,likely
20,Mal (ST),20000,48339.35655783984,51474.64344216021,0.31575,0.68425,-3135.2868843203723,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.68425,68.42,likely
21,Nagrakata (ST),20000,34127.00876788209,28975.900323026966,0.84655,0.15345,5151.108444855124,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.84655,84.66,strong
22,Kalimpong,20000,46270.05346078835,1751.960623718052,1.0,0.0,44518.0928370703,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,1.0,100.0,very_strong
23,Darjeeling,20000,188244.99925308884,38897.00074691141,1.0,0.0,149347.99850617745,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,1.0,100.0,very_strong
24,Kurseong,20000,182532.8365877256,6836.077439424246,1.0,0.0,175696.7591483013,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,1.0,100.0,very_strong
25,Matigara-Naxalbari (SC),20000,123379.95995084314,69448.03027716954,0.99985,0.00015,53931.92967367359,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.99985,99.98,very_strong
26,Siliguri,20000,14973.911025681768,10210.988974318268,0.9914,0.0086,4762.922051363498,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.9914,99.14,very_strong
27,Phansidewa (ST),20000,24355.88972359712,20278.11027640283,0.8712,0.1288,4077.779447194287,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.8712,87.12,strong
28,Chopra,20000,54751.00812815447,131398.07158198996,0.0,1.0,-76647.0634538355,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
29,Islampur,20000,6149.693457911906,15228.30654208808,0.0,1.0,-9078.613084176171,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
30,Goalpokhar,20000,21215.0780017001,40171.92199829987,0.0,1.0,-18956.84399659977,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
31,Chakulia,20000,20193.15333324617,37802.61589752303,5e-05,0.99995,-17609.462564276862,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.99995,100.0,very_strong
32,Karandighi,20000,61739.73341848538,103487.26658151382,0.0,1.0,-41747.53316302844,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
33,Hemtabad (SC),20000,55202.59627767275,81494.77409269751,0.0076,0.9924,-26292.17781502477,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.9924,99.24,very_strong
34,Kaliaganj (SC),20000,138137.1780482391,127236.82195176068,0.70215,0.29785,10900.356096478414,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.70215,70.22,likely
35,Raiganj,20000,25596.418017182816,21375.117697103207,0.8659,0.1341,4221.300320079607,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.8659,86.59,strong
36,Itahar,20000,26261.83521026702,48495.73621830426,5e-05,0.99995,-22233.901008037243,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.99995,100.0,very_strong
37,Kushmandi (SC),20000,50146.22055086954,65783.19861080732,0.04655,0.95345,-15636.97805993778,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.95345,95.34,very_strong
38,Kumarganj,20000,27757.08844396698,46830.911556032894,0.0008,0.9992,-19073.82311206591,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.9992,99.92,very_strong
39,Balurghat,20000,55038.983268579,50590.47352154475,0.70045,0.29955,4448.509747034246,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.70045,70.04,likely
40,Tapan (ST),20000,55203.78177312349,61042.77244374404,0.26965,0.73035,-5838.990670620548,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.73035,73.04,likely
41,Gangarampur (SC),20000,52140.228247139,55661.3495971727,0.34025,0.65975,-3521.1213500337003,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.65975,65.97,likely
42,Harirampur,20000,75984.08669415281,112656.2795609902,0.008,0.992,-36672.19286683738,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,0.992,99.2,very_strong
43,Habibpur (ST),20000,108012.9294890802,96586.880034729,0.75395,0.24605,11426.049454351174,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.75395,75.4,likely
44,Gazole (SC),20000,98642.56817558622,66750.43182441372,0.999,0.001,31892.136351172496,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.999,99.9,very_strong
45,Chanchal,20000,36663.47420898962,101625.22262358978,0.0,1.0,-64961.74841460018,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
46,Harishchandrapur,20000,13361.085794633564,42571.94099108056,0.0,1.0,-29210.855196447003,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
47,Malatipur,20000,17060.286077151166,107091.71392284888,0.0,1.0,-90031.4278456977,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
48,Ratua,20000,139149.98366310363,81492.01633689657,1.0,0.0,57657.96732620705,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,1.0,100.0,very_strong
49,Manikchak,20000,190216.79913359787,30197.200866402072,1.0,0.0,160019.5982671958,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,1.0,100.0,very_strong
50,Maldaha,20000,32500.19486842779,30617.44986841424,0.643,0.357,1882.745000013548,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.643,64.3,lean
51,English Bazar,20000,154674.3815840236,142096.8698610633,0.70315,0.29685,12577.511722960306,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),BJP,0.70315,70.32,likely
52,Mothabari,20000,35717.5765080366,98820.423491963,0.0,1.0,-63102.846983926414,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
53,Sujapur,20000,26106.231780315848,159075.76821968387,0.0,1.0,-132969.536439368,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
54,Baisnabnagar,20000,50024.68723523511,115714.3127647656,0.0,1.0,-65689.62552953047,0.0,0.0,-0.03,0.015,0.04,tmc_consolidation,TMC consolidation (-3pp),TMC,1.0,100.0,very_strong
1,Mekliganj (SC),20000,32511.312812005825,46713.18718799424,0.01365,0.98635,-14201.874375988418,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.98635,98.64,very_strong
2,Mathabhanga (SC),20000,74601.36362893938,70061.02655797599,0.6522,0.3478,4540.337070963395,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.6522,65.22,likely
3,Cooch Behar Uttar (SC),20000,43745.73794646654,46918.6182179168,0.33165,0.66835,-3172.8802714502517,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.66835,66.83,likely
4,Cooch Behar Dakshin,20000,59324.43287736327,68591.70848389342,0.1809,0.8191,-9267.275606530156,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.8191,81.91,strong
5,Sitalkuchi (SC),20000,15504.832820247771,13994.16717975216,0.7388,0.2612,1510.6656404956102,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.7388,73.88,likely
6,Sitai (SC),20000,49427.20137038087,66268.6247165758,0.0347,0.9653,-16841.423346194933,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.9653,96.53,very_strong
7,Dinhata,20000,61145.857360473696,73137.14263952652,0.09065,0.90935,-11991.28527905283,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.90935,90.94,strong
8,Natabari,20000,79683.16474367044,77019.5784995731,0.58345,0.41655,2663.58624409734,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.58345,58.34,lean
9,Tufanganj,20000,84122.4358200058,74825.73474074097,0.7668,0.2332,9296.70107926483,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.7668,76.68,likely
10,Kumargram (ST),20000,79595.28961465236,87800.39622605655,0.27145,0.72855,-8205.10661140418,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.72855,72.86,likely
11,Kalchini (ST),20000,29446.22876227539,26102.95751223431,0.77485,0.22515,3343.2712500410826,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.77485,77.48,likely
12,Alipurduars,20000,63526.92695384356,66055.54960865651,0.4007,0.5993,-2528.622654812956,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.5993,59.93,lean
13,Falakata,20000,107281.73695247612,125990.26304752452,0.1578,0.8422,-18708.526095048404,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.8422,84.22,strong
14,Madarihat,20000,54304.09546699195,44829.8355674909,0.8814,0.1186,9474.259899501045,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.8814,88.14,strong
15,Dhupguri (SC),20000,77568.88753208223,90888.5679134624,0.1634,0.8366,-13319.680381380163,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.8366,83.66,strong
16,Maynaguri (SC),20000,82456.29526685891,90439.35939415768,0.28455,0.71545,-7983.06412729876,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.71545,71.54,likely
17,Jalpaiguri (SC),20000,52832.863016307725,65201.949483692384,0.09765,0.90235,-12369.08646738466,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.90235,90.24,strong
18,Rajganj (SC),20000,34284.551422458375,49430.93877361978,0.01205,0.98795,-15146.38735116141,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.98795,98.8,very_strong
19,Dabgram-Phulbari,20000,45385.57116098839,43619.774077106784,0.5975,0.4025,1765.7970838815986,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.5975,59.75,lean
20,Mal (ST),20000,46779.94811205908,53034.05188794106,0.1645,0.8355,-6254.103775881982,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.8355,83.55,strong
21,Nagrakata (ST),20000,32856.42516208148,30246.4839288276,0.69715,0.30285,2609.941233253884,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.69715,69.72,likely
22,Kalimpong,20000,45497.09331610792,2524.92076839862,1.0,0.0,42972.1725477093,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,1.0,100.0,very_strong
23,Darjeeling,20000,184812.96670208205,42329.03329791848,1.0,0.0,142483.9334041636,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,1.0,100.0,very_strong
24,Kurseong,20000,179543.6727310563,9825.241296094144,1.0,0.0,169718.43143496214,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,1.0,100.0,very_strong
25,Matigara-Naxalbari (SC),20000,119592.5941948424,73235.3960331701,0.99895,0.00105,46357.19816167229,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.99895,99.9,very_strong
26,Siliguri,20000,14455.766313423432,10729.13368657656,0.9662,0.0338,3726.632626846872,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.9662,96.62,very_strong
27,Phansidewa (ST),20000,23453.462872286425,21180.537127713596,0.7347,0.2653,2272.9257445728304,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.7347,73.47,likely
28,Chopra,20000,51029.91885053225,135119.16085961252,0.0,1.0,-84089.24200908026,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
29,Islampur,20000,5854.486279057688,15523.513720942196,0.0,1.0,-9669.02744188451,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
30,Goalpokhar,20000,20538.788529900798,40848.21147009904,0.0,1.0,-20309.42294019824,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
31,Chakulia,20000,19027.34538673481,38968.42384403453,0.0,1.0,-19941.078457299715,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
32,Karandighi,20000,60207.923701163694,105019.07629883604,0.0,1.0,-44811.15259767236,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
33,Hemtabad (SC),20000,52514.65469888551,84182.71567148475,0.0024,0.9976,-31668.060972599236,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.9976,99.76,very_strong
34,Kaliaganj (SC),20000,133053.01781600574,132320.9821839942,0.51225,0.48775,732.0356320115566,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.51225,51.22,toss_up
35,Raiganj,20000,24654.658004775338,22316.877709510336,0.73165,0.26835,2337.780295265001,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.73165,73.17,likely
36,Itahar,20000,24794.83441558679,49962.737012984486,5e-05,0.99995,-25167.902597397697,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.99995,100.0,very_strong
37,Kushmandi (SC),20000,47826.91398636646,68102.50517530974,0.01475,0.98525,-20275.59118894327,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.98525,98.52,very_strong
38,Kumarganj,20000,26259.79859772405,48328.201402276005,5e-05,0.99995,-22068.40280455195,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.99995,100.0,very_strong
39,Balurghat,20000,52992.53677606616,52636.92001405756,0.51635,0.48365,355.6167620086074,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.51635,51.64,toss_up
40,Tapan (ST),20000,52875.51127504145,63371.042941826345,0.129,0.871,-10495.531666784897,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.871,87.1,strong
41,Gangarampur (SC),20000,49914.4090536773,57887.16879063408,0.1746,0.8254,-7972.759736956781,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.8254,82.54,strong
42,Harirampur,20000,72312.374965868,116327.99128927622,0.00235,0.99765,-44015.61632340821,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.99765,99.76,very_strong
43,Habibpur (ST),20000,103852.03853262433,100747.77099118536,0.57525,0.42475,3104.267541438961,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.57525,57.53,lean
44,Gazole (SC),20000,96054.25790555985,69338.74209444044,0.9957,0.0043,26715.51581111939,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.9957,99.57,very_strong
45,Chanchal,20000,34010.41359542611,104278.28323715238,0.0,1.0,-70267.86964172628,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
46,Harishchandrapur,20000,12219.830182810443,43713.196602903816,0.0,1.0,-31493.36642009337,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
47,Malatipur,20000,15643.338468972031,108508.66153102744,0.0,1.0,-92865.3230620554,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,1.0,100.0,very_strong
48,Ratua,20000,135857.2710227152,84784.72897728554,1.0,0.0,51072.54204542967,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,1.0,100.0,very_strong
49,Manikchak,20000,186215.8614120261,34198.13858797497,1.0,0.0,152017.72282405113,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,1.0,100.0,very_strong
50,Maldaha,20000,31224.65846853684,31892.986268305285,0.4484,0.5516,-668.3277997684479,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),TMC,0.5516,55.16,lean
51,English Bazar,20000,148916.879329058,147854.37211602862,0.51155,0.48845,1062.5072130293845,0.0,0.0,-0.05,0.015,0.04,tmc_defence,TMC defence (-5pp),BJP,0.51155,51.15,toss_up
