ac_no,ac_name,bjp_win_probability_bjp_moderate,bjp_win_probability_bjp_surge,bjp_win_probability_neutral,bjp_win_probability_tmc_consolidation,bjp_win_probability_tmc_defence,expected_margin_bjp_moderate,expected_margin_bjp_surge,expected_margin_neutral,expected_margin_tmc_consolidation,expected_margin_tmc_defence,mean_bjp_votes_bjp_moderate,mean_bjp_votes_bjp_surge,mean_bjp_votes_neutral,mean_bjp_votes_tmc_consolidation,mean_bjp_votes_tmc_defence,mean_tmc_votes_bjp_moderate,mean_tmc_votes_bjp_surge,mean_tmc_votes_neutral,mean_tmc_votes_tmc_consolidation,mean_tmc_votes_tmc_defence,tmc_win_probability_bjp_moderate,tmc_win_probability_bjp_surge,tmc_win_probability_neutral,tmc_win_probability_tmc_consolidation,tmc_win_probability_tmc_defence,winner_party,winner_votes,runner_party,runner_votes,margin_2021,district,lean_neutral,lean_bjp_moderate,lean_bjp_surge,lean_tmc_consolidation,lean_tmc_defence,bjp_wins_across_scenarios
9,Tufanganj,0.99295,0.9985,0.975,0.8889,0.76485,30416.829510476105,36164.25313927022,24772.960015835957,15669.007465685558,8996.770231098031,92042.9220422706,94077.46959416816,90813.04659670306,87829.60165340347,82140.68603844612,61626.09253179452,57913.21645489793,66040.08658086711,72160.59418771791,73143.91580734808,0.00705,0.0015,0.025,0.1111,0.23515,BJP,114503,TMC,83305,31198,Cooch Behar,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,5
27,Phansidewa (ST),0.9907,0.9983,0.96915,0.8704,0.7344,18206.50436408266,21782.39769005441,14688.254582099116,9021.904673741608,4900.009536278731,56808.51905704128,58075.442595027016,56037.87729104944,54178.57733687073,50656.81726813938,38602.01469295862,36293.0449049726,41349.62270895033,45156.67266312912,45756.80773186065,0.0093,0.0017,0.03085,0.1296,0.2656,BJP,105651,TMC,77940,27711,Darjeeling,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,5
35,Raiganj,0.99045,0.9978,0.96915,0.87015,0.73325,13549.312650659782,16226.91386697197,10914.084713814773,6670.919740233767,3587.8977863194823,42484.45453202622,43433.24305402158,41906.77003547899,40514.182102259685,37879.17929494567,28935.14188136644,27206.32918704961,30992.68532166422,33843.26236202592,34291.28150862619,0.00955,0.0022,0.03085,0.12985,0.26675,BJP,79775,TMC,59027,20748,Uttar Dinajpur,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,5
21,Nagrakata (ST),0.9883,0.99725,0.96175,0.84595,0.6994,18774.714184725945,22652.10927337702,14950.686379184324,8803.731023650967,4373.876586820841,60981.44133034993,62356.64321136387,60138.48929348824,58118.274537799225,54323.45293626747,42206.72714562399,39704.53393798686,45187.80291430392,49314.54351414826,49949.57634944663,0.0117,0.00275,0.03825,0.15405,0.3006,BJP,70945,TMC,56543,14402,Jalpaiguri,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,LIKELY_BJP,5
2,Mathabhanga (SC),0.9837,0.99585,0.94705,0.80725,0.6447,24305.2789824139,29700.58437555641,18967.04142091296,10408.339166153395,4318.771901563358,83693.49577052904,85609.79992960073,82506.74851419465,79687.86194288971,74452.38147648261,59388.21678811515,55909.21555404432,63539.7070932817,69279.52277673632,70133.60957491925,0.0163,0.00415,0.05295,0.19275,0.3553,BJP,113249,TMC,87115,26134,Cooch Behar,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
19,Dabgram-Phulbari,0.97655,0.9918,0.931,0.76875,0.5931,18757.468676255,23222.623009387644,14326.715221246415,7239.536925671923,2255.3835690338374,68398.55651312729,69986.53625469368,67406.10761062322,65067.37346283578,60768.01428451688,49641.08783687229,46763.91324530603,53079.3923893768,57827.83653716385,58512.63071548304,0.02345,0.0082,0.069,0.23125,0.4069,BJP,129088,TMC,101495,27593,Jalpaiguri,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
43,Habibpur (ST),0.9748,0.9927,0.92875,0.7569,0.58,29564.888911545502,36735.32950144006,22444.427237222884,11061.726696253514,3080.6476791364075,109483.48879624912,112034.41167929136,107885.5231424214,104127.43906241268,97237.00026813996,79918.59988470362,75299.0821778513,85441.0959051985,93065.71236615916,94156.35258900357,0.0252,0.0073,0.07125,0.2431,0.42,BJP,94075,TMC,74558,19517,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
8,Natabari,0.97465,0.99255,0.92585,0.76105,0.5804,21057.95937025597,26158.453920848537,15993.278573937285,7896.591264335823,2218.3337746852994,77895.78407724491,79710.27060231636,76759.3262239057,74086.23630784354,69184.22695491002,56837.82470698894,53551.81668146782,60766.04764996841,66189.64504350771,66965.89318022471,0.02535,0.00745,0.07415,0.23895,0.4196,BJP,111743,TMC,88303,23440,Cooch Behar,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
34,Kaliaganj (SC),0.96935,0.99185,0.9164,0.7412,0.5564,33980.422207782816,42618.35839662406,25445.777967400943,11990.957121000052,2733.026781586361,131829.17555389102,134893.90569831192,129941.38898370104,125558.34856049996,117412.82839079332,97848.7533461082,92275.54730168788,104495.6110163001,113567.39143949992,114679.80160920696,0.03065,0.00815,0.0836,0.2588,0.4436,BJP,116768,TMC,94948,21820,Uttar Dinajpur,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
39,Balurghat,0.96395,0.98995,0.8997,0.70275,0.5134,13501.692115778584,17100.45009719168,9915.388011473358,4198.612260591942,247.71668691483737,54095.67706961756,55377.969511558746,53283.5396847492,51391.66872288846,47966.44556567965,40593.984953838975,38277.51941436707,43368.15167327585,47193.056462296525,47718.728878764814,0.03605,0.01005,0.1003,0.29725,0.4866,BJP,70484,TMC,57585,12899,Dakshin Dinajpur,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
51,English Bazar,0.96185,0.9876,0.89955,0.70805,0.5164,40004.59333636763,50601.238273460935,29446.96718975265,12614.490428346038,970.7949947345973,159444.79142526496,163220.16330291517,157055.31451973226,151485.71275752565,141393.91011297368,119440.19808889736,112618.92502945424,127608.34732997962,138871.2223291796,140423.1151182391,0.03815,0.0124,0.10045,0.29195,0.4836,BJP,107755,TMC,87656,20099,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
5,Sitalkuchi (SC),0.9626,0.989,0.8986,0.71025,0.52165,3662.8123547657474,4626.624549905859,2703.8040670921087,1180.001862180467,130.9165467128888,14528.318177382936,14871.5522749529,14311.90203354608,13809.20093109024,12895.858273356427,10865.505822617186,10244.927725047042,11608.09796645397,12629.199068909777,12764.94172664354,0.0374,0.011,0.1014,0.28975,0.47835,BJP,124955,TMC,107140,17815,Cooch Behar,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,TOSS_UP,5
50,Maldaha,0.9473,0.9834,0.86995,0.64395,0.44845,11425.07342281282,14787.257955845904,8063.288127807379,2718.818290363437,-923.6817534704684,49780.91226140632,50980.70247792298,49013.14406390371,47240.53914518162,44069.8441232648,38355.83883859351,36193.44452207708,40949.855936096326,44521.72085481818,44993.525876735264,0.0527,0.0166,0.13005,0.35605,0.55155,BJP,93398,TMC,77942,15456,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,TOSS_UP,TOSS_UP,4
